CNPq_ID,Name,Institution,Area,City,State,Country,Lattes_URL,Search_Term,Created_At
K4671147U1,Andrea de Mello Gigli,Universidade de Taubaté,,,,,http://lattes.cnpq.br/K4671147U1,prova de teoremas,2025-05-27 02:41:31
K4707599Y4,Andreas Herzig,,,,,,http://lattes.cnpq.br/K4707599Y4,"temporal logic, automated reasoning",2025-05-27 02:41:35
K4262187E0,Andrei Rimsa Álvares,Universidade Federal de Minas Gerais,,,,,http://lattes.cnpq.br/K4262187E0,static analysis,2025-05-27 02:41:37
K4013486P8,André Bazzoni Bueno,,,,,,http://lattes.cnpq.br/K4013486P8,"temporal logic, formal semantics",2025-05-27 02:41:35
K4564800H9,André Luís Ribeiro Didier,Universidade Federal de Pernambuco,,,,,http://lattes.cnpq.br/K4564800H9,"model checking, temporal logic",2025-05-27 02:41:30
K4779532U1,Andréia Borges Avelar,Universidade de Brasília,,,,,http://lattes.cnpq.br/K4779532U1,formal methods,2025-05-27 02:41:24
K4735008D7,Angelo Antonio Verri,,,,,,http://lattes.cnpq.br/K4735008D7,static analysis,2025-05-27 02:41:38
K4219189U2,Angelo Schranko de Oliveira,Universidade Nove de Julho,,,,,http://lattes.cnpq.br/K4219189U2,static analysis,2025-05-27 02:41:38
K4787693J1,Arnaldo Vieira Moura,University Of California Berkeley,,,,,http://lattes.cnpq.br/K4787693J1,program verification,2025-05-27 02:41:41
K4785549D9,Arthur Ronald de Vallauris Buchsbaum,Pontifícia Universidade Católica do Rio de Janeiro,,,,,http://lattes.cnpq.br/K4785549D9,automated reasoning,2025-05-27 02:41:49
K4265782P1,Artur Oliveira Gomes,,,,,,http://lattes.cnpq.br/K4265782P1,formal methods,2025-05-27 02:41:22
K4798847J3,Aurelio Flavio Charao,,,,,,http://lattes.cnpq.br/K4798847J3,linguagens de especificação,2025-05-27 02:41:46
K9944107J3,Aurio Oliveira da Silva,,,,,,http://lattes.cnpq.br/K9944107J3,computacao,2025-05-27 02:25:24
K2104977Y9,Bernd Hartmann,University of Münster,,,,,http://lattes.cnpq.br/K2104977Y9,prova de teoremas,2025-05-27 02:41:32
K4785270J2,Braz Izaias da Silva Junior,Carnegie Mellon University,,,,,http://lattes.cnpq.br/K4785270J2,formal verification,2025-05-27 02:41:27
K4431175J7,Bruno Ramos Mendonça,Universidade Estadual de Campinas,,,,,http://lattes.cnpq.br/K4431175J7,formal semantics,2025-05-27 02:41:51
K4207484D6,Camila de Oliveira Luvison,,,,,,http://lattes.cnpq.br/K4207484D6,prova de teoremas,2025-05-27 02:41:30
K4679158P9,Carlos Alberto Hernandez Rodriguez,,,,,,http://lattes.cnpq.br/K4679158P9,prova de teoremas,2025-05-27 02:41:31
K4315073Y2,Carlos Alberto Olarte Vega,,,,,,http://lattes.cnpq.br/K4315073Y2,temporal logic,2025-05-27 02:41:36
K2757301D2,Carlos Caleiro,Universidade Técnica de Lisboa,,,,,http://lattes.cnpq.br/K2757301D2,temporal logic,2025-05-27 02:41:35
K4235281H6,Carlos Ivan Castro Marquez,Universidade de São Paulo,,,,,http://lattes.cnpq.br/K4235281H6,"formal verification, model checking",2025-05-27 02:41:26
K8138283T7,Carolina De Almeida Santos,Universidade de Guarulhos,,,,,http://lattes.cnpq.br/K8138283T7,computacao,2025-05-27 02:25:53
K4269944U7,Christian Garcia Vieira,Universidade de São Paulo,,,,,http://lattes.cnpq.br/K4269944U7,prova de teoremas,2025-05-27 02:41:31
K4707920Z8,Christian Jacques Rentería,Pontifícia Universidade Católica do Rio de Janeiro,,,,,http://lattes.cnpq.br/K4707920Z8,temporal logic,2025-05-27 02:41:35
K4708719E6,Christiano de Oliveira Braga,Pontifícia Universidade Católica do Rio de Janeiro,,,,,http://lattes.cnpq.br/K4708719E6,formal semantics,2025-05-27 02:41:50
K4385712D3,Claudia Simone Vieira,Fundação Getulio Vargas,,,,,http://lattes.cnpq.br/K4385712D3,computacao,2025-05-27 02:26:29
K4781614E1,Claudionor Jose Nunes Coelho Junior,Stanford University,,,,,http://lattes.cnpq.br/K4781614E1,program verification,2025-05-27 02:41:41
K4799021E5,Cláudia Nalon,University of Liverpool,,,,,http://lattes.cnpq.br/K4799021E5,automated reasoning,2025-05-27 02:41:47
